"response","var1","var2"
0,0,0.079809633
0,1,-0.947671307
0,0,0.34508987
0,0,-0.822953987
0,0,-0.175914039234766
0,0,0.594650828
0,1,-0.197323419
0,0,-0.506368405
0,0,-0.589345119
0,1,-0.301121976
0,0,-1.02026581976117
3,0,-0.543467032696583
0,0,-0.514268199
0,1,-0.508767121
0,1,-0.673205659
0,1,-0.451203715
0,0,-0.513866365
0,1,-0.800329369
0,0,-0.800088582134274
1,0,-0.322705977
0,1,-0.667078873
0,0,0.347778901
0,0,-0.584813067
0,1,-0.663145563
0,1,0.509989697
0,1,-0.460820734
0,0,-0.2510865138134
1,1,-0.86453203
0,0,-0.468934047
0,0,0.05560726
0,1,-0.388150153
0,0,-0.514268199
0,0,-0.82653685
0,1,-0.451024146
0,0,-0.084512497
3,0,-1.070062255
